epoch,step,loss,lr,grad_norm,dt,tokens,tok_per_sec
1,1,0.7027270197868347,3.0431991631202304e-06,30.98391342163086,105.17725729942322,1790,17.018888128623043
1,2,2.8306074142456055,6.086398326240461e-06,173.93031311035156,17.830650806427002,3501,28.46152212550971
1,3,2.909454822540283,9.129597489360692e-06,74.24356842041016,18.25739049911499,5165,36.56226787545717
1,4,3.7177388668060303,1.2172796652480921e-05,51.1685905456543,18.121389865875244,6958,43.65461746614231
1,5,2.7919082641601562,1.521599581560115e-05,7.919707298278809,17.703729391098022,8617,48.658471551857545
1,6,2.4582040309906006,1.8259194978721383e-05,2.5654473304748535,17.65387511253357,10419,53.50055379783031
1,7,2.250894784927368,2.130239414184161e-05,1.0174391269683838,17.782190561294556,12190,57.35711873341555
1,8,2.1941609382629395,2.4345593304961843e-05,0.8242644667625427,17.920429468154907,13929,60.44293362464511
1,9,2.1734025478363037,2.738879246808207e-05,0.6243907809257507,17.921561241149902,15781,63.53810992959186
1,10,2.1062588691711426,3.04319916312023e-05,0.4867544174194336,17.82741403579712,17489,65.69913900549612
1,11,1.978644847869873,3.3475190794322534e-05,0.4656101167201996,17.796058654785156,19134,67.37451483156894
1,12,2.0473146438598633,3.6518389957442766e-05,0.45228636264801025,17.826576948165894,20862,69.1203353904324
1,13,1.9436620473861694,3.956158912056299e-05,0.4336487948894501,17.82239031791687,22554,70.55972881350613
1,14,1.9768482446670532,4.260478828368322e-05,0.3416537940502167,17.85097312927246,24301,72.00395911148583
1,15,1.868989109992981,4.564798744680345e-05,0.3538292944431305,17.83837628364563,26170,73.64902458766058
1,16,2.011638879776001,4.8691186609923686e-05,0.2857232987880707,17.820785999298096,27942,74.88041488426613
1,17,1.9255799055099487,5.173438577304392e-05,0.2844115197658539,17.871086597442627,29803,76.21736972288952
1,18,1.9019557237625122,5.477758493616414e-05,0.26971080899238586,17.85809302330017,31577,77.22715159911323
1,19,1.885081171989441,5.7820784099284374e-05,0.2592562735080719,17.849735736846924,33430,78.33907306639531
1,20,1.7523701190948486,6.08639832624046e-05,0.192359060049057,17.8087158203125,35117,78.99560466579871
1,21,1.8060593605041504,6.390718242552484e-05,0.2753574550151825,17.77304244041443,36810,79.62068562069841
1,22,1.7050269842147827,6.695038158864507e-05,0.1970507949590683,17.807719230651855,38545,80.28117422547565
1,23,1.8051031827926636,6.99935807517653e-05,0.29555201530456543,17.846493244171143,40215,80.75758656159309
1,24,1.6494454145431519,7.303677991488553e-05,0.26222148537635803,17.87654185295105,42059,81.53361225586387
1,25,1.7024693489074707,7.607997907800575e-05,0.256843239068985,17.8459153175354,43811,82.0899870954432
1,26,1.6981223821640015,7.912317824112598e-05,0.20012381672859192,17.872047185897827,45781,83.00168324082242
1,27,1.6409754753112793,8.216637740424621e-05,0.17223243415355682,17.82168436050415,47608,83.6124218542265
1,28,1.7096997499465942,8.520957656736645e-05,0.21838334202766418,17.76223134994507,49315,83.99023961471016
1,29,1.550404667854309,8.825277573048668e-05,0.19947360455989838,17.78745198249817,51114,84.4944326415618
1,30,1.644083023071289,9.12959748936069e-05,0.18729963898658752,17.850966930389404,53003,85.10565962937858
1,31,1.6060808897018433,9.433917405672714e-05,0.14065825939178467,17.858179092407227,54844,85.6069366102158
1,32,1.5776479244232178,9.738237321984737e-05,0.15049801766872406,17.79541516304016,56532,85.85687138789153
1,33,1.5942140817642212,0.0001004255723829676,0.13494372367858887,17.852137804031372,58266,86.1544456729539
1,34,1.5830652713775635,0.00010346877154608783,0.12824662029743195,17.87901997566223,60123,86.6105485085415
1,35,1.5079691410064697,0.00010651197070920805,0.16713571548461914,17.83034896850586,61939,86.99212049527881
1,36,1.5923269987106323,0.00010955516987232828,0.14942437410354614,17.807937622070312,63704,87.28785153358038
1,37,1.5756422281265259,0.00011259836903544852,0.12382736057043076,17.77739977836609,65520,87.6412856810621
1,38,1.4820847511291504,0.00011564156819856875,0.11248498409986496,17.75608777999878,67322,87.96246141603974
1,39,1.5023516416549683,0.00011868476736168898,0.11605118960142136,17.753451824188232,69058,88.18508933955171
